season,team_id,team_name,off_rtg,def_rtg,net_rtg,pace,rest_days,ts_pct,tov_pct,oreb_pct,home,win_streak,srs,point_diff,fg3_rate,ftr,back_to_back,travel_km,prev_margin,label
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,4,0.5472818162882732,0.15,0.294,1,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,863.6,-11.0,1
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,4,0.5929282087272427,0.15,0.267,0,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,863.6,11.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,2,0.5929282087272427,0.15,0.267,0,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,-12.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,1,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,0.0,12.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,2,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,863.6,7.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,863.6,-7.0,0
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,6,0.5632591754103357,0.138,0.266,1,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,1011.6,21.0,1
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,5,0.565197767930412,0.162,0.347,0,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,676.7,14.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,0,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,0.0,-32.0,1
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,1,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,0.0,32.0,0
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,4,0.5632591754103357,0.138,0.266,0,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,676.7,-1.0,1
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,4,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,676.7,1.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,0.0,-4.0,1
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,0,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,0.0,4.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,0,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,676.7,14.0,1
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,1,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,676.7,-14.0,0
2015-16,1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,2,0.565197767930412,0.162,0.347,1,-1,7.126,7.3,0.2743055555555555,0.2916666666666666,0,676.7,4.0,1
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,2,0.5632591754103357,0.138,0.266,0,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,676.7,-4.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,9,0.557467824004789,0.143,0.294,1,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,892.9,1.0,1
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,0,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,304.4,27.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,2,0.557467824004789,0.143,0.294,1,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,0.0,31.0,1
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,0,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,0.0,-31.0,0
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,1,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,304.4,-19.0,1
